candidate_id,silver_score,top_evidence,honeypot_score
CAND_0001892,0,non_technical_title_without_technical_skills,0
CAND_0004941,0,non_technical_title_without_technical_skills,0
CAND_0007263,0,non_technical_title_without_technical_skills,0
CAND_0098744,0,non_technical_title_without_technical_skills,0
CAND_0091203,0,non_technical_title_without_technical_skills,0
CAND_0007852,0,non_technical_title_without_technical_skills,0
CAND_0013245,0,non_technical_title_without_technical_skills,0
CAND_0014219,0,non_technical_title_without_technical_skills,0
CAND_0015470,0,non_technical_title_without_technical_skills,0
CAND_0015683,0,non_technical_title_without_technical_skills,0
CAND_0016471,0,non_technical_title_without_technical_skills,0
CAND_0093054,0,non_technical_title_without_technical_skills,0
CAND_0019076,0,non_technical_title_without_technical_skills,0
CAND_0083559,0,non_technical_title_without_technical_skills,0
CAND_0077295,0,non_technical_title_without_technical_skills,0
CAND_0020401,0,non_technical_title_without_technical_skills,0
CAND_0020510,0,non_technical_title_without_technical_skills,0
CAND_0081915,0,non_technical_title_without_technical_skills,0
CAND_0023061,0,non_technical_title_without_technical_skills,0
CAND_0023102,0,non_technical_title_without_technical_skills,0
CAND_0023273,0,non_technical_title_without_technical_skills,0
CAND_0024480,0,non_technical_title_without_technical_skills,0
CAND_0025164,0,non_technical_title_without_technical_skills,0
CAND_0025420,0,non_technical_title_without_technical_skills,0
CAND_0025714,0,non_technical_title_without_technical_skills,0
CAND_0099181,0,non_technical_title_without_technical_skills,0
CAND_0027838,0,non_technical_title_without_technical_skills,0
CAND_0095997,0,non_technical_title_without_technical_skills,0
CAND_0081722,0,non_technical_title_without_technical_skills,0
CAND_0097122,0,non_technical_title_without_technical_skills,0
CAND_0031087,0,non_technical_title_without_technical_skills,0
CAND_0080378,0,non_technical_title_without_technical_skills,0
CAND_0033268,0,non_technical_title_without_technical_skills,0
CAND_0034151,0,non_technical_title_without_technical_skills,0
CAND_0034901,0,non_technical_title_without_technical_skills,0
CAND_0079762,0,non_technical_title_without_technical_skills,0
CAND_0035954,0,non_technical_title_without_technical_skills,0
CAND_0035972,0,non_technical_title_without_technical_skills,0
CAND_0036018,0,non_technical_title_without_technical_skills,0
CAND_0038023,0,non_technical_title_without_technical_skills,0
CAND_0038181,0,non_technical_title_without_technical_skills,0
CAND_0038456,0,non_technical_title_without_technical_skills,0
CAND_0038763,0,non_technical_title_without_technical_skills,0
CAND_0039600,0,non_technical_title_without_technical_skills,0
CAND_0039693,0,non_technical_title_without_technical_skills,0
CAND_0040059,0,non_technical_title_without_technical_skills,0
CAND_0040520,0,non_technical_title_without_technical_skills,0
CAND_0042079,0,non_technical_title_without_technical_skills,0
CAND_0042517,0,non_technical_title_without_technical_skills,0
CAND_0043524,0,non_technical_title_without_technical_skills,0
CAND_0043827,0,non_technical_title_without_technical_skills,0
CAND_0044857,0,non_technical_title_without_technical_skills,0
CAND_0045851,0,non_technical_title_without_technical_skills,0
CAND_0045907,0,non_technical_title_without_technical_skills,0
CAND_0090814,0,non_technical_title_without_technical_skills,0
CAND_0046211,0,non_technical_title_without_technical_skills,0
CAND_0046535,0,non_technical_title_without_technical_skills,0
CAND_0046594,0,non_technical_title_without_technical_skills,0
CAND_0048107,0,non_technical_title_without_technical_skills,0
CAND_0048991,0,non_technical_title_without_technical_skills,0
CAND_0049936,0,non_technical_title_without_technical_skills,0
CAND_0050165,0,non_technical_title_without_technical_skills,0
CAND_0050181,0,non_technical_title_without_technical_skills,0
CAND_0050921,0,non_technical_title_without_technical_skills,0
